S.no,Name of Restaurants,Type of Restaurants,Rating,Rating by people,Rating_by_people,Website,Address,Area,Phone number,Outlets included,Web page
926,Sports On 4,,0,0,,http://www.gulfcourthotelbusinessbay.com/,"
4th Level, Al Abraj Street ","
Business Bay ","
+971 4 247 3333 ",Gulf Court Hotel Business Bay,https://www.theentertainerme.com/outlets/sports-on-4/detail?o=94902&m=52544
927,St Tropez Bistro,French,4.5,366,"
Inspired by the charm of the St. Tropez neighbourhood bistros, this outlet will take you on a journey of French specialities. The bistro is spread between three areas - a current and elegant lounge with a quirky twist, a more refined Parisian-style bistro and a light and casual café-style terrace. Guests can enjoy French cuisine from the menu, featuring lemon & thyme roasted baby chicken, fantastic juicy steaks & grilled meats, generous fresh salads and desserts like crème brûlée. Less
",http://www.sttropez.ae,"
Al Nakheel Villas ","
Al Sufouh ","
+971 4 341 3415 ",Al Sufouh,https://www.theentertainerme.com/outlets/st-tropez-bistro/detail?o=765&m=504
928,Stage Pool Lounge,Bar Food,0,0,,https://www.barcelo.com/en-ae/occidental-al-jaddaf/,"
1st Level ","
Al Jaddaf ","
+971 4 596 9999 ",Occidental Al Jaddaf,https://www.theentertainerme.com/outlets/stage-pool-lounge/detail?o=93381&m=53404
929,Stage Sky Bar & Lounge,Bar Food,0,0,"
Located on the rooftop and adjacent to one of the pools, it transforms from a chilled venue in the day to a vibrant scene at night with live music and entertainment. Less
",http://www.barcelo.com,"
5th Level ","
International Media Production Zone ","
+971 4 246 4500 ",Occidental Hotel IMPZ,https://www.theentertainerme.com/outlets/stage-sky-bar-lounge/detail?o=64214&m=37651
930,"Stars N Bars, La Mer - Dubai", Read Reviews,4.5,418,"
Stars N Bars at La Mer is a Californian surf bar version of the famous Stars N Bars concepts found in Abu Dhabi and Monte Carlo. Known worldwide for delicious food, great drinks and good times, Stars N Bars at La Mer brings all these great aspects to the Dubai beachfront. It is complete with a restored 1960’s Volkswagen van food truck, serving ice cream and hippy milkshakes on the ground level and a hops vending machine on the upper level. Stars N Bars is open from 11:00am to 3:00am daily. Less
",http://starsnbars.ae,"
Shop No. 52, North Side ","
Jumeirah ","
+971 4 349 9903 ",La Mer,https://www.theentertainerme.com/outlets/stars-n-bars-la-mer-dubai/detail?o=58776&m=34429
931,Steakanji,Steakhouse,0,0,"
Steakanji is the first fusion steakhouse in the Middle East that specialises in grilled Philly steaks. Our uniqueness comes from our recipes that combine elements of different cuisines around the world. Less
",http://www.steakanji.com,"
Laguna Area ","
Jumeirah ","
+971 50 560 4051 ",La Mer,https://www.theentertainerme.com/outlets/steakanji/detail?o=85081&m=49021
932,Steakanji Express,Steakhouse,0,0,"
Steakanji Express is the first fusion steakhouse in the Middle East that specialises in grilled Philly steaks. Our uniqueness comes from our recipes that combine elements of different cuisines around the world. Less
",http://www.steakanji.com,"
Meraas Last Exit, Line 7 ","
Al Khawaneej ","
+971 56 398 6900 ",Al Khawaneej,https://www.theentertainerme.com/outlets/steakanji-express/detail?o=85083&m=49018
933,Sthan,,0,0,"
Sthan presents the best of street eats from Hindustan, Pakistan and Afghanistan. From tandoori kebabs and wholesome curries to regional favourites such as Hyderabadi haleem and Afghani kali mirch, fragrant biryani and signature dishes like chicken dhaba da murgh and mutton rara gosht. Sthan’s wide range of dishes are made from fresh, high-quality ingredients and seasoned with home-ground spices. The interior is unique and inviting, allowing guests to enjoy the experience and create their own special moments. Less
",,"
Zabeel Road ","
  4 3  ","
 +971 4 399 7775 ",Al Karama,https://www.theentertainerme.com/outlets/sthan/detail?o=89709&m=51721
934,STK,International,4,330,"
Internationally acclaimed brand STK brings a whole new meaning to the term steakhouse. Boasting impeccable service with a chic vibe and upmarket interiors, the sophisticated destination features a lounge, a dedicated dining area, a DJ booth and a number of bars. The mouth-watering menu includes classic steakhouse options with a modern twist, catering to all palates. Various cuts of tender, juicy beef and a wide selection of indulgent toppings, sauces and sides share the spotlight with entrées such as fish, oysters and more. Less
",http://togrp.com/venue/stk-dubai-at-jbr-the-walk/,"
Basement, Level B1 ","
Jumeirah Beach Residence ","
+971 4 323 0061 ","Rixos Premium Dubai, Jumeirah Beach Residence",https://www.theentertainerme.com/outlets/stk/detail?o=47883&m=27800
935,STK - Downtown,International,0,0,"
The high-energy dining venue took JBR by storm when it opened in December 2017, offering the ultimate blend of food-meets-party and bringing an all-new experience to the Dubai scene. Following its fierce success, the flagship Dubai location - STK Downtown - has opened up at the recently refurbished The Address Hotel Downtown. Bringing a new level of sassy sophistication to the Downtown Dubai precinct, the internationally acclaimed steakhouse is truly a cut above the rest. It boasts unbeatable views of the glittering Burj Khalifa, chic vibes and upmarket interiors. Less
",http://togrp.com/venue/downtown-dubai/,"
Ground Level ","
Downtown Dubai ","
+971 55 796 8133 ",Address Downtown,https://www.theentertainerme.com/outlets/stk-downtown/detail?o=55614&m=32309
936,Street Diversions Restaurant,,0,0,,http://www.street-diversions.com,"
The Amphitheatre, Madinat Jumeriah, Al Sufouh 1 ","
Al Sufouh ","
+971 4 582 0731 ",Al Sufouh,https://www.theentertainerme.com/outlets/street-diversions-restaurant/detail?o=94904&m=54108
937,Street Woks,Chinese,0,0,"
Inspired by the popular street food of the Far East, Street Woks packs a punch with unique dishes ranging from Thai curries, Koren Bibimbap, Malaysian Laksa to Indonesian Nasi Goreng. A variety of flavourful and fulfilling dishes summing up the flavours Asia tossed in a wok. Less
",,"
Springs 7, Ground Level ","
 4 24 3 ","
+971 4 241 3777 ",The Springs Souk,https://www.theentertainerme.com/outlets/street-woks/detail?o=87743&m=50437
938,Sugar Factory, Read Reviews,3.5,111,"
Known world over for its celebrity-endorsed couture pops, Sugar Factory has turned sweets into the latest designer accessory. With several locations now operating around the UAE, this American brasserie has taken the hospitality industry by storm with an award-winning combination of upscale “sweets, treats & eats”. Sugar Factory’s loyal celebrity following has received widespread media attention and this brand has evolved as the coolest hangout spot in the UAE. Less
",http://www.sugarfactory.ae,"
1st Level ","
Ras Al Khor ","
+971 4 284 3169 ",Dubai Festival City,https://www.theentertainerme.com/outlets/sugar-factory/detail?o=32714&m=19542
939,SugarMoo Desserts,Baked Goods,0,0,"
SugarMoo is Dubai’s first an online dessert delivery bakery. We bake desserts using only the best ingredients. We also deliver them fresh from the oven straight to your door in under 90 minutes so you don’t have to move a muscle! If this is the first time ordering from SugarMoo, go ahead and try our award-winning Red Velvet Oreo Crunch Cake! No matter what cake you choose, it’s gonna be good! Just remember, you crave; we deliver! Less
",http://www.sugarmoo.com,"
Al Quoz 4, Industrial Area ","
Al Quoz ","
800 78427 ",Al Quoz,https://www.theentertainerme.com/outlets/sugarmoo-desserts/detail?o=67174&m=38830
940,Sui Mui,Asian,0,0,"
 Craving Pad Thai? Dotty for dim sum? Seriously stuck on sushi? Whatever you desire, SUI MUI is a modern Asian dining concept that will deliver the best of the continent. Dine indoors with antique Asian furnishings and show-stopping artwork or outside on an idyllic terrace, featuring bamboo finishing, tropical flair and Asian accents that evoke an image of serenity and tranquil calm. Less
",https://www.suimuidubai.com/,"
Ground Level ","
Al Sufouh ","
+971 4 511 7373 ",Le Meridien Mina Seyahi Beach Resort & Marina,https://www.theentertainerme.com/outlets/sui-mui/detail?o=86040&m=49589
941,Sultan Baba Express,Turkish,0,0,,,"
Jebel Ali Village ","
","
+971 4 232 9933 ",Ibn Battuta Mall,https://www.theentertainerme.com/outlets/sultan-baba-express/detail?o=94541&m=53488
942,Sultan Baba Iskender,Turkish,4,81,"
Relish Iskender kebab, the most popular dish of Turkish cuisine, in its glory using the authentic recipe. Cooked on a charcoal grill, Iskender kebab transports you to the Ottoman kitchen culture. The wide grill menu boasts of over 15 varieties of kebabs accompanied by pitas, starters, doners, salads and desserts. Complementing the food is the ambience that is reminiscent of mid-18th century Bursa (Turkey). Less
",http://www.sultanbabaiskender.com,"
2nd Level, Food Court ","
Ras Al Khor ","
+971 56 392 9032 ",Dubai Festival City,https://www.theentertainerme.com/outlets/sultan-baba-iskender/detail?o=1961&m=1252
943,Sultani Biryani,,0,0,,,"
G07, Building 07 ","
4888 ","
97145868768 ",Bay Square,https://www.theentertainerme.com/outlets/sultani-biryani/detail?o=94265&m=53782
944,Sumibiya,Korean,5,532,"
Sumibiya is the first yakiniku-style restaurant in Dubai, featuring authentic and freshly prepared Japanese meals. You and your friends will be grilling together an array of meat, seafood and vegetables at your table. The informal vibe and sleek décor are heightened by semi-private booths and tables with central, customised grills that enable this exclusive style of Japanese dining. The tender and marinated meats, fresh seafood and vegetables are intensified by exceptional sauces, starters and side dishes alongside superb house beverages. Less
",http://www.radissonblu.com/hotel-dubaideiracreek,"
Plaza Building, Lobby Level ","
Deira ","
+971 4 205 7033 ","Radisson Blu Hotel, Dubai Deira Creek",https://www.theentertainerme.com/outlets/sumibiya/detail?o=8483&m=4608
945,Summer Place Dubai, Read Reviews,5,276,"
Summer Place Dubai started as one of the first Oriental restaurants in the original Metropolitan Hotel for over 20 years. An authentic Asian ambience reminiscent the Land of the Dragons with a modern oriental interior touch. Situated at the 31st floor of V Hotel, Curio Collection by Hilton, Summer Place Dubai is a prime spot, soars high above the bustling Sheikh Zayed Road framing the captivating views of the Dubai Water Canal with panoramic views of the Dubai Skyline. Less
",https://www.alhabtoorcity.com/hotels//en-us/v-hotel-dubai/dining/summer-place,"
31st Level ","
Sheikh Zayed Road ","
+971 50 106 3574 ","V Hotel Dubai, Curio Collection by Hilton",https://www.theentertainerme.com/outlets/summer-place-dubai/detail?o=90986&m=52366
946,Sumo Sushi & Bento,Japanese,0,0,"
Sumo Sushi & Bento has been serving the best sushi in the UAE and throughout the GCC for more than 20 years, providing a unique family friendly, authentically fun Japanese restaurant. Sumo chefs serve up a wide variety to please any palate. From the popular bento boxes, noodle dishes and traditional sushi to the ever famous and custom created sushi sandwiches, poke bowl and salmon lover’s bento, our sushi menu offers a wide range of healthy options and quality food at affordable prices. Less
",,"
Ground Level, Next to IKEA ","
 4 3 238 ","
+971 54 793 2398 ",Festival Plaza,https://www.theentertainerme.com/outlets/sumo-sushi-bento/detail?o=88247&m=50680
947,Sumo Sushi & Bento Dubai,,0,0,"
Sumo Sushi & Bento has been serving the best sushi in UAE and throughout the GCC for more than 20 years, providing a unique family-friendly, authentically fun Japanese restaurant. Sumo Chefs serve up a wide variety to please any palate. From the popular bento boxes, noodle dishes, and traditional sushi to the ever famous and custom created Sushi Sandwiches, Poke Bowl, and Salmon Lovers Bento. Our sushi menu offers a wide range of healthy options and quality food at affordable prices. Less
",https://sumosushibento.com/dalmamall/,"
Ground Level ","
Jumeirah ","
8007866 ",Town Centre Jumeirah,https://www.theentertainerme.com/outlets/sumo-sushi-bento-dubai/detail?o=88723&m=50798
948,Sun&,Mediterranean,4.5,121,"
Step into the soothing surroundings of our Mediterranean lounge and while away relaxed afternoons to the backdrop of stunning sunsets, glistening on the water of the Palm Marina West. Bask in the chilled vibe and enjoy refreshing cocktails and our seasonal sharing platter from the elaborate Mediterranean menu of Sun&. Less
",http://www.sunand.ae,"
Palm Views Marina West ","
The Palm Jumeirah ","
+971 4 375 9333 ",The Palm Jumeirah,https://www.theentertainerme.com/outlets/sun/detail?o=13403&m=7673
949,Super Bowl,,0,0,"
The name “Super Bowl” arises from our promise of giving our customers a tasty, wholesome Asian meal in a bowl at a super price. We use the finest ingredients and traditional recipes to prepare the meals. We source tasty Asian packaged snacks and prepare super coffee too. So be it lunch, dinner or just a coffee and snack time, we will be there to serve you. Order and relish the flavours of Asia like never before. Less
",,"
Ground Level, Cluster X, Tower X1 ","
 4  2888 ","
+971 4 571 2888 ",Jumeirah Lakes Towers,https://www.theentertainerme.com/outlets/super-bowl/detail?o=87603&m=50356
950,Super Healthy Organic Pizza,,0,0,"
Eat Healthy. Stay Healthy. Do not compromise when it comes to pizza. Super Healthy Organic Pizza bakes the best sourdough pizza in town, completely organic, healthy and without any additives. Less
",,"
Dusit Princess Residences, El Emreef Street ","
 0 840 3 ","
+971 50 840 9936 ",Dubai Marina,https://www.theentertainerme.com/outlets/super-healthy-organic-pizza/detail?o=87384&m=50163
951,Suq,International,4,125,"
A vibrant, market-style Dubai restaurant, Suq serves mix of Indian and International cuisines. Less
",http://www.fourseasons.com/dubaijb/dining/restaurants/suq,"
Ground Level ","
Jumeirah ","
+971 4 270 7803 ",Four Seasons Resort Dubai at Jumeirah Beach,https://www.theentertainerme.com/outlets/suq/detail?o=17663&m=10631
952,Sushi & Co,Japanese,0,0,"
If you live in the UAE and you're looking for the best sushi place, you couldn't have found a better place than Sushi and Co. They offer the best sushi in town with high-quality, fresh and original ingredients and the Japanese tradition of meal preparation. All this makes the restaurant unique. A real taste of Japan in the UAE without going out of your place. Quality meals, quick service offered at affordable prices. Our aim is to serve the best Japanese cuisine. Less
",,"
Delivery only: Inside Shokuji Sushi Restaurant, Shop 38, Al Wasl Road, Jumeirah 1 ","
   03 ","
+971 2 671 0355 ",Wasl Vita Mall,https://www.theentertainerme.com/outlets/sushi-co/detail?o=82777&m=48439
953,Sushi & Poke Nation,Japanese,0,0,"
Would you like something exotic to eat? You can have Japanese treats without leaving home. Check out the Sushi & Poke Nation menu and order our dishes. We take care of high-quality ingredients. Your order and satisfaction with our service are our priority. Sushi and Poke prepared with the utmost care. We want to share with you the true taste of Japan. Move your thoughts to Asia for a little while and give yourself a moment with delicious exotic food. Less
",,"
Delivery only: Jumeirah 1 ","
 8 88 3 ","
+971 58 588 9319 ",Wasl Vita Mall,https://www.theentertainerme.com/outlets/sushi-poke-nation/detail?o=85201&m=49375
954,Sushi & Wings,,0,0,,,"
Delivery only: Hamad Bin Abdallah Street, 16 Buildings Complex, Building 3 ","
   03 ","
+971 2 671 0355 ",Fujairah,https://www.theentertainerme.com/outlets/sushi-wings/detail?o=92325&m=52927
955,Sushi House,Japanese,0,0,"
Sushi House - one of the best sushi places in the Emirates. Who doesn't know the cult taste of Japanese sushi? You don't have to go all the way to Japan to taste it. In Sushi House, the quality of the products and the manufacturing techniques are the focus. Attention to detail makes sushi here great not only in taste but also in the way it is served. Order and see for yourself — the best sushi in the Emirates. Less
",,"
Delivery only: Inside Shokuji Sushi Restaurant, Shop 38, Al Wasl Road, Jumeirah 1 ","
   03 ","
+971 2 671 0355 ",Wasl Vita Mall,https://www.theentertainerme.com/outlets/sushi-house/detail?o=82814&m=48444
956,Sushi Nations, Read Reviews,4.5,199,"
Sushi Nations is a restaurant featuring a wide variety of sushi with a Brazilian twist. It’s a must try for all sushi lovers, offering amazing dishes served by a professional and friendly staff. Less
",,"
Latifa Tower, Shop No. L2, Ground Level ","
 4 84 000 ","
+971 4 874 1000 ","Sheikh Zayed Road, Latifa Tower",https://www.theentertainerme.com/outlets/sushi-nations/detail?o=57271&m=33415
957,Sushi Sushi, Read Reviews,4,32,"
Sushi Sushi specialises in Japanese and Oriental dishes, including sushi, teriyaki, teppanyaki, stir fries, tempura, grills, noodles and a wide selection of salads. It was the first restaurant in the Gulf to have a conveyor belt where the chefs display their sushi on plates for the guests to pick up as they glide by. The restaurant was voted winner and twice finalist as Dubai’s Favourite Japanese Restaurant in the What’s On Awards for three consecutive years. Less
",http://www.wcnuae.com,"
Irish Village Complex, Century Village ","
Al Garhoud ","
+971 4 282 9908 ",Al Garhoud,https://www.theentertainerme.com/outlets/sushi-sushi/detail?o=43094&m=25695
958,Sweet Truth,,0,0,"
Undo bitterness, one dessert at a time with Sweet Truth. Less
",,"
R507, Wasl Amber, Near Karama Medical Center ","
 4 24  ","
+971 4 247 1199 ",Al Karama,https://www.theentertainerme.com/outlets/sweet-truth/detail?o=89631&m=51677
959,Sweet Truth - JLT,,0,0,"
Undo bitterness, one dessert at a time with Sweet Truth. Less
",,"
Shop No. 14, Churchill Tower ","
 4 24  ","
+971 4 247 1199 ",Business Bay.,https://www.theentertainerme.com/outlets/sweet-truth-jlt/detail?o=87723&m=50421
960,Szechuan Palace,,0,0,"
The light and airy restaurant in tones of red give a dark wood feel ornamented with gold artefacts. A paradise for non-vegetarian lovers, Szechuan Palace serves authentic Chinese delicacies prepared using the steamboat cooking method. The prawn dim sums, crispy noodles and chilly chicken in gravy are the best bets here. Less
",http://carltonbarsha.com,"
1st Level ","
Al Barsha ","
+971 4 501 9196 ",Carlton Al Barsha Hotel,https://www.theentertainerme.com/outlets/szechuan-palace/detail?o=84958&m=49092
961,Taco Mix,Mexican,0,0,"
How about salmon ceviche albo or grilled king tiger prawns for lunch? We also have guacamole and chicken wings. Taco Mix is also famous for tacos which is a kind of food you eat at once. This snack is made from small corn flour tortillas, rolled in half and filled with stuffing. Inspired by Mexican cuisine, we create dishes for lunch but also snacks to take away. We also have the most famous and most delicious Mexican dessert - churros. Less
",,"
Delivery only: Damac Park Towers, Level P4 ","
   03 ","
+971 2 671 0355 ",Dubai International Financial Centre,https://www.theentertainerme.com/outlets/taco-mix/detail?o=86173&m=49776
962,Tahi Restaurant,Middle Eastern,5,312,"
Novotel Sharjah Expo Centre Hotel makes every moment matter with 2 great restaurants, including Tahi Arabic Restaurant. A 20-minute drive from Sharjah International Airport and just a few minutes' drive from all the leisure locations. Less
",,"
Ground Level ","
   000 ","
+971 6 599 0500 ",Novotel Sharjah Expo Centre,https://www.theentertainerme.com/outlets/tahi-restaurant/detail?o=90499&m=52212
963,Tandoori Junction,,0,0,,,"
Shop 04/05, Ground Level, HDS Tower, Cluster F ","
 04 43 866 ","
+971 04 431 1866 ",Jumeirah Lakes Towers,https://www.theentertainerme.com/outlets/tandoori-junction/detail?o=90052&m=51856
964,Tandoori Shahi - Dubai,,0,0,,,"
Delivery only: Downtown Dubai ","
   03 ","
+971 2 671 0355 ",The Dubai Mall,https://www.theentertainerme.com/outlets/tandoori-shahi-dubai/detail?o=93981&m=53632
965,Tania's Teahouse,,0,0,"
Tania’s Teahouse is a hub for positivi-tea and the perfect place to catch up with your friends or family, host a meeting or find a quiet corner to work from. A welcoming and friendly environment, the two-storey café serves a wide range of speciality flavoured tea, coffee, delicious meals and decadent desserts. Head on over and do not be shy to grab a selfie as the café was recently named the “7th Most Instagrammable Café in the World”. Less
",http://taniasteahouse.com,"
779A Jumeirah Beach Road, Next to EPPCO Petrol Station ","
Umm Suqeim ","
+971 4 324 0021 ",Umm Suqeim,https://www.theentertainerme.com/outlets/tania-s-teahouse/detail?o=66953&m=38755
966,Taste, Read Reviews,5,210,"
Taste offers good food in a highly traditional setting. Authenticity is the watchword here and it also extends outdoors during the cooler months. Obviously, it takes more than design to get customers flocking back and this is where the atmosphere and staff make their mark. They offer a fusion of mouth-watering Thai and Indonesian dishes, a licensed bar and in-house music. Less
",http://www.lemeridien-alaqah.com,"
Lobby Level ","
Fujairah ","
+971 9 244 9000 ",Le Meridien Al Aqah Beach Resort Fujairah,https://www.theentertainerme.com/outlets/taste/detail?o=862&m=595
967,Taverna,International,0,0,"
With a superb shaded terrace, calming view of the ocean and an excellent International selection of dishes from around the world, Taverna takes you on a culinary journey around the world. Less
",,"
Jumeirah 1 ","
","
+971 4 346 1111 ",Dubai Marine Beach Resort and Spa,https://www.theentertainerme.com/outlets/taverna/detail?o=76872&m=44287
968,Tawook & Wings,,0,0,,,"
Delivery only: Hamad Bin Abdallah Street, 16 Buildings Complex, Building 3 ","
   03 ","
+971 2 671 0355 ",Fujairah,https://www.theentertainerme.com/outlets/tawook-wings/detail?o=92282&m=52928
969,Taza - Dubai,Fast Food,3.5,61,"
Taza have their own farms and offer fresh farm-to-table food. It is healthy, with no animal protein, just natural ingredients. Less
",http://www.tazauae.com,"
Al Rabban Building, Ground Level ","
Deira ","
+971 4 271 0601 ",Deira,https://www.theentertainerme.com/outlets/taza-dubai/detail?o=2934&m=1885
970,Teatro - Dubai,International,4.5,340,"
Named after Theatre, Teatro will amaze you without having to see a show. Its dramatic and warm ambience coupled with its rich interiors proves to be a perfect setting for an unforgettable night out. The multi award-winning restaurant serves a comprehensive menu with something for everyone and will always leave you spoilt for choice with cuisines ranging from Japanese and Chinese to Indian and Italian. Less
",http://www.rotana.com/towersrotana/dining/teatro,"
3rd Level ","
Jumeirah ","
+971 4 312 2201 ",Towers Rotana Dubai,https://www.theentertainerme.com/outlets/teatro-dubai/detail?o=29631&m=18488
971,Tent Jumeirah Restaurant,Arabic,3,94,"
Based in Umm Suqeim, Tent Jumeirah is a restaurant that specialises in Arabic cuisine. This restaurant combines traditional and modern takes on preparing and serving dishes. The interior boasts multiple references to marine life, boats and beaches with a variety of decorations and adornments, such as fishing nets and models of boats. Locals and tourists will surely enjoy the food while taking in the beautiful scenery of the beach. Less
",http://tentjumeirahresturant.com/,"
Jumeirah 5 Marina, Umm Suqeim 2 ","
Umm Suqeim ","
+971 55 275 6091 ",Umm Suqeim,https://www.theentertainerme.com/outlets/tent-jumeirah-restaurant/detail?o=43080&m=25678
972,Teriyaki,,0,0,"
Teriyaki Experience's menu is built around a handful of authentic Japanese dishes, including the famous teriyaki rice, yakisoba and udon noodles. All the mains are served with a stir-fry vegetable mix with a choice of chicken, beef, shrimp or tofu, cooked on the teppanyaki griddle to prepare fast and fresh meals. Less
",,"
Ground Level ","
","
+971 5 8814 4881 ",Mall of the Emirates,https://www.theentertainerme.com/outlets/teriyaki/detail?o=61944&m=36241
973,Tesoro,International,4.5,200,"
Dine in style in this striking global eatery housed within an eye-catching glass and metal conservatory. Choose to sit on the terrace to enjoy views of the Burj Khalifa and Downtown Dubai. Less
",http://www.tajhotels.com,"
3rd Level ","
Business Bay ","
+971 4 438 3111 ",Taj Dubai,https://www.theentertainerme.com/outlets/tesoro/detail?o=11608&m=6751
974,Texas Chicken Dubai,Fast Food,4,4,"
Inspired by an original Texan Fried Chicken concept from San Antonio, US, Texas Chicken came to life to offer a flavoursome and indulgent experience like no other. ""Gold, bold and crunchy"" is the well-kept secret behind our bigger and juicer chicken pieces as well as our tastier sandwiches; all prepared in-house with the freshest ingredients and cooked to golden perfection. Do not miss our signature whole muscle strips along with our freshly baked honey butter smothered crunchy biscuits. Share the Crunch and indulge the Texas Chicken way! Less
",,"
1st Level, South Food Court ","
  ","
+971 4 284 5616 ",City Centre Mirdif,https://www.theentertainerme.com/outlets/texas-chicken-dubai/detail?o=7412&m=1365
975,TGI Friday's - Dubai, Read Reviews,3.5,52,"
TGI Friday's has the unique ability to deliver the ideal dining experience whatever the occasion you are celebrating. Famous for fresh food, generous portions and a long list of beverages, it embodies the spirit of a quintessential American bistro for millions of guests. Less
",,"
Opposite Jumeirah Open Beach, Jumeirah 1 ","
","
+971 4 344 1149  ",Jumeirah,https://www.theentertainerme.com/outlets/tgi-friday-s-dubai/detail?o=1971&m=1259
976,Thai Time, Read Reviews,4,27,"
Thai Time Restaurant, established in 2006, serves authentic and delicious Thai food. They strive to bring you the explosive flavours in an exceptional fine dining experience. Using only the best and freshest ingredients imported directly from Thailand, they offer food following their master chef’s traditional recipes. Besides the popular tom yum, phad Thai and curries, they also offer a wide selection of exciting new Thai dishes. The restaurant is centrally located in Dubai for fine dining, dinner parties and business meetings. Less
",http://www.thaitimedubai.com,"
Food Court, Lulu Hypermarket ","
Al Barsha ","
+971 58 593 4184 ",Al Barsha,https://www.theentertainerme.com/outlets/thai-time/detail?o=15040&m=8707
977,Thaitastic,,0,0,,,"
Kitchen Park, RBC Tower ","
","
+971 4 276 6340 ",Business Bay,https://www.theentertainerme.com/outlets/thaitastic/detail?o=94110&m=53154
978,That Place Café,International,0,0,"
 Since opening in 2018, That Place has been proud to be part of Dubai's food scene. We are committed to providing quality food and excellent customer service, ensuring our guests are completely satisfied and happy after their meal. We have mastered the craft of serving great dishes with unique flavours at affordable prices. That Place is the new place to be! Less
",,"
Behind Park Regis Kris Kin Hotel, Street 2B ","
","
+971 4 337 0100 ",Al Karama,https://www.theentertainerme.com/outlets/that-place-caf/detail?o=87708&m=50364
979,The 44,Bar Food,0,0,"
The 44 is home to a double lane bowling alley and at the 44th level, it is the tallest one in the world. The retro sports bar is kitted out like an American diner meets gentleman’s club from the 60s. Think monochrome checkered tiles, cushy green sofas and vibrant red leather bar stools. Making it contemporary is the outdoor terrace with a second fully licensed bar, pool tables and a pinball machine. There is a lot to love about the gastro-pub with a lively atmosphere. Discover more at The 44! Less
",https://www.reserveout.com/dubai-en/the-44-business-bay,"
44th Level ","
Sheikh Zayed Road ","
+971 54 581 1758 ",Hilton Dubai Al Habtoor City,https://www.theentertainerme.com/outlets/the-44/detail?o=69505&m=39954
980,The Avenue Restaurant,International,0,0,"
The Avenue Restaurant is open for breakfast, lunch and dinner daily. It offers guests a rich choice of International cuisines for breakfast buffet and à la carte menu for lunch and dinner. Less
",https://www.barcelo.com/en-gb/occidental-hotels/hotels/united-arab-emirates/dubai/occidental-impz-dubai-conference-events-centre,"
Ground Level ","
International Media Production Zone ","
+971 4 246 4500 ",Occidental Hotel IMPZ,https://www.theentertainerme.com/outlets/the-avenue-restaurant/detail?o=70646&m=40561
981,The Balcony Bar,International,4,14,"
Overlooking the hotel’s chic lobby, Balcony Bar is a welcoming retreat from the stresses of the day. Relax and sink into the sumptuous leather armchairs and while away some time over coffee. Sample our selection of craft cocktails with friends or enjoy an aperitif or a nightcap from our extensive list of premium beverages. Balcony Bar is open throughout the day and is the perfect place for those who enjoy the finer things in life. Less
",http://www.shangri-la.com/dubai,"
1st Level ","
Sheikh Zayed Road ","
+971 4 405 2703 ","Shangri La Hotel, Dubai",https://www.theentertainerme.com/outlets/the-balcony-bar/detail?o=24492&m=14941
982,The Beach House,Mediterranean,4.5,814,"
The Beach House is a relaxed beachside dining and entertainment spot with superb offerings both indoors and out on the terrace. Relax and take in the views of the glittering Dubai shoreline while enjoying a selection of Mediterranean cuisine, including pizza, tapas and seafood, complemented by signature cocktails. In the evenings, the outdoor terrace transforms into a lounge with a chilled-out vibe offering hubbly bubbly and enhanced by the tunes of the resident DJ. Less
",http://www.anantara.com,"
Lobby Level ","
The Palm Jumeirah ","
+971 4 567 8304 ",Anantara The Palm Dubai Resort,https://www.theentertainerme.com/outlets/the-beach-house/detail?o=2786&m=1798
983,The Big Easy,African,4,152,"
The Big Easy is a culinary experience inspired by the crossroads of South Africa's fresh-off-the-grill comfort food, combined with spices, herbs and ingredients from the melting pot of the world. It is an unpretentious bar and grill serving the best quality grapes from the Ernie Els portfolio, all in a relaxed setting overlooking the beautiful golf course. Less
",http://www.elsclubdubai.com,"
The Els Club ","
Dubai Sports City ","
+971 4 425 1000 ",The Els Club,https://www.theentertainerme.com/outlets/the-big-easy/detail?o=767&m=506
984,The Biryani Life,,0,0,"
The Biryani Life is the place to go if you are craving for some finger-licking biryanis. The biryani is prepared so well here that the rice and meat turn succulent and juicy for non-veg biryani lovers and the vegetables are cooked to perfection for vegetarian biryani lovers. Less
",,"
Wasl Amber, R507, Near Karama Medical Center ","
","
+971 4 247 1188 ",Al Karama,https://www.theentertainerme.com/outlets/the-biryani-life/detail?o=89690&m=51716
985,The Biryani Life - JLT,,0,0,"
The Biryani Life is the place to go if you are craving for some finger-licking biryanis. The biryani is prepared so well here that the rice and meat turn succulent and juicy for non-veg biryani lovers and the vegetables are cooked to perfection for vegetarian biryani lovers. Less
",,"
Wasl Amber, R507, Near Karama Medical Center ","
","
+971 4 247 1188 ",Al Karama.,https://www.theentertainerme.com/outlets/the-biryani-life-jlt/detail?o=87356&m=50224
